csv_post_title,csv_post_post,csv_post_type,csv_post_excerpt,csv_ctax_project_category,csv_post_tags,csv_post_date,csv_navi_zoom,csv_navi_latitude,csv_navi_longitude
Patirana - Tumusla - San Jose Road,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur ultricies, dui sed pharetra luctus, arcu sapien condimentum risus, in sodales felis quam et velit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse dignissim viverra pellentesque. Maecenas ut metus nisi. Vivamus feugiat faucibus mi volutpat pulvinar. Sed auctor interdum varius. Etiam et metus lacus. In nec hendrerit nulla. Integer quis libero nisl. Proin tempor nisl nec eros molestie quis pretium enim ultrices. Cras vitae volutpat est. Aenean et risus leo. Donec molestie mattis augue, sit amet vehicula erat pellentesque sed.",project,,Water,,,15,-21.084499,-65.764618
Pena Colorada Runway,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur ultricies, dui sed pharetra luctus, arcu sapien condimentum risus, in sodales felis quam et velit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse dignissim viverra pellentesque. Maecenas ut metus nisi. Vivamus feugiat faucibus mi volutpat pulvinar. Sed auctor interdum varius. Etiam et metus lacus. In nec hendrerit nulla. Integer quis libero nisl. Proin tempor nisl nec eros molestie quis pretium enim ultrices. Cras vitae volutpat est. Aenean et risus leo. Donec molestie mattis augue, sit amet vehicula erat pellentesque sed.",project,,Road,,,15,-18.091034,-64.858017
Pilpina Road,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur ultricies, dui sed pharetra luctus, arcu sapien condimentum risus, in sodales felis quam et velit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse dignissim viverra pellentesque. Maecenas ut metus nisi. Vivamus feugiat faucibus mi volutpat pulvinar. Sed auctor interdum varius. Etiam et metus lacus. In nec hendrerit nulla. Integer quis libero nisl. Proin tempor nisl nec eros molestie quis pretium enim ultrices. Cras vitae volutpat est. Aenean et risus leo. Donec molestie mattis augue, sit amet vehicula erat pellentesque sed.",project,,School,,,15,-17.963058,-65.558167
Pisorga - Tabla Corral Road,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur ultricies, dui sed pharetra luctus, arcu sapien condimentum risus, in sodales felis quam et velit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse dignissim viverra pellentesque. Maecenas ut metus nisi. Vivamus feugiat faucibus mi volutpat pulvinar. Sed auctor interdum varius. Etiam et metus lacus. In nec hendrerit nulla. Integer quis libero nisl. Proin tempor nisl nec eros molestie quis pretium enim ultrices. Cras vitae volutpat est. Aenean et risus leo. Donec molestie mattis augue, sit amet vehicula erat pellentesque sed.",project,,Community,,,15,-17.617846,-65.401726
Piusilla Clinic,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur ultricies, dui sed pharetra luctus, arcu sapien condimentum risus, in sodales felis quam et velit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse dignissim viverra pellentesque. Maecenas ut metus nisi. Vivamus feugiat faucibus mi volutpat pulvinar. Sed auctor interdum varius. Etiam et metus lacus. In nec hendrerit nulla. Integer quis libero nisl. Proin tempor nisl nec eros molestie quis pretium enim ultrices. Cras vitae volutpat est. Aenean et risus leo. Donec molestie mattis augue, sit amet vehicula erat pellentesque sed.",project,,Health,,,15,-17.182779,-66.448059
Piusilla Education Projects,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur ultricies, dui sed pharetra luctus, arcu sapien condimentum risus, in sodales felis quam et velit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse dignissim viverra pellentesque. Maecenas ut metus nisi. Vivamus feugiat faucibus mi volutpat pulvinar. Sed auctor interdum varius. Etiam et metus lacus. In nec hendrerit nulla. Integer quis libero nisl. Proin tempor nisl nec eros molestie quis pretium enim ultrices. Cras vitae volutpat est. Aenean et risus leo. Donec molestie mattis augue, sit amet vehicula erat pellentesque sed.",project,,Water,,,15,-17.172283,-66.450806
Piusilla Community Projects,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur ultricies, dui sed pharetra luctus, arcu sapien condimentum risus, in sodales felis quam et velit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse dignissim viverra pellentesque. Maecenas ut metus nisi. Vivamus feugiat faucibus mi volutpat pulvinar. Sed auctor interdum varius. Etiam et metus lacus. In nec hendrerit nulla. Integer quis libero nisl. Proin tempor nisl nec eros molestie quis pretium enim ultrices. Cras vitae volutpat est. Aenean et risus leo. Donec molestie mattis augue, sit amet vehicula erat pellentesque sed.",project,,Road,,,15,-17.16441,-66.439819
Placa Molino Clinic,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur ultricies, dui sed pharetra luctus, arcu sapien condimentum risus, in sodales felis quam et velit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse dignissim viverra pellentesque. Maecenas ut metus nisi. Vivamus feugiat faucibus mi volutpat pulvinar. Sed auctor interdum varius. Etiam et metus lacus. In nec hendrerit nulla. Integer quis libero nisl. Proin tempor nisl nec eros molestie quis pretium enim ultrices. Cras vitae volutpat est. Aenean et risus leo. Donec molestie mattis augue, sit amet vehicula erat pellentesque sed.",project,,School,,,15,-18.183123,-65.650093
Pocoata Education Projects,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur ultricies, dui sed pharetra luctus, arcu sapien condimentum risus, in sodales felis quam et velit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse dignissim viverra pellentesque. Maecenas ut metus nisi. Vivamus feugiat faucibus mi volutpat pulvinar. Sed auctor interdum varius. Etiam et metus lacus. In nec hendrerit nulla. Integer quis libero nisl. Proin tempor nisl nec eros molestie quis pretium enim ultrices. Cras vitae volutpat est. Aenean et risus leo. Donec molestie mattis augue, sit amet vehicula erat pellentesque sed.",project,,Community,,,15,-18.705441,-66.166534
Pocona Clinic,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur ultricies, dui sed pharetra luctus, arcu sapien condimentum risus, in sodales felis quam et velit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse dignissim viverra pellentesque. Maecenas ut metus nisi. Vivamus feugiat faucibus mi volutpat pulvinar. Sed auctor interdum varius. Etiam et metus lacus. In nec hendrerit nulla. Integer quis libero nisl. Proin tempor nisl nec eros molestie quis pretium enim ultrices. Cras vitae volutpat est. Aenean et risus leo. Donec molestie mattis augue, sit amet vehicula erat pellentesque sed.",project,,Health,,,15,-17.687859,-65.409851
Puca Mayu Clinic,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur ultricies, dui sed pharetra luctus, arcu sapien condimentum risus, in sodales felis quam et velit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse dignissim viverra pellentesque. Maecenas ut metus nisi. Vivamus feugiat faucibus mi volutpat pulvinar. Sed auctor interdum varius. Etiam et metus lacus. In nec hendrerit nulla. Integer quis libero nisl. Proin tempor nisl nec eros molestie quis pretium enim ultrices. Cras vitae volutpat est. Aenean et risus leo. Donec molestie mattis augue, sit amet vehicula erat pellentesque sed.",project,,Water,,,15,-17.270662,-65.916595
Pucarani Education Projects,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur ultricies, dui sed pharetra luctus, arcu sapien condimentum risus, in sodales felis quam et velit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse dignissim viverra pellentesque. Maecenas ut metus nisi. Vivamus feugiat faucibus mi volutpat pulvinar. Sed auctor interdum varius. Etiam et metus lacus. In nec hendrerit nulla. Integer quis libero nisl. Proin tempor nisl nec eros molestie quis pretium enim ultrices. Cras vitae volutpat est. Aenean et risus leo. Donec molestie mattis augue, sit amet vehicula erat pellentesque sed.",project,,Road,,,15,-17.983957,-65.44075
Pucarani Community Projects,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur ultricies, dui sed pharetra luctus, arcu sapien condimentum risus, in sodales felis quam et velit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse dignissim viverra pellentesque. Maecenas ut metus nisi. Vivamus feugiat faucibus mi volutpat pulvinar. Sed auctor interdum varius. Etiam et metus lacus. In nec hendrerit nulla. Integer quis libero nisl. Proin tempor nisl nec eros molestie quis pretium enim ultrices. Cras vitae volutpat est. Aenean et risus leo. Donec molestie mattis augue, sit amet vehicula erat pellentesque sed.",project,,School,,,15,-17.974813,-65.452538
Puituco Clinic,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur ultricies, dui sed pharetra luctus, arcu sapien condimentum risus, in sodales felis quam et velit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse dignissim viverra pellentesque. Maecenas ut metus nisi. Vivamus feugiat faucibus mi volutpat pulvinar. Sed auctor interdum varius. Etiam et metus lacus. In nec hendrerit nulla. Integer quis libero nisl. Proin tempor nisl nec eros molestie quis pretium enim ultrices. Cras vitae volutpat est. Aenean et risus leo. Donec molestie mattis augue, sit amet vehicula erat pellentesque sed.",project,,Community,,,15,-19.340626,-66.10611
Puituco - Belen Pampa Road,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur ultricies, dui sed pharetra luctus, arcu sapien condimentum risus, in sodales felis quam et velit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse dignissim viverra pellentesque. Maecenas ut metus nisi. Vivamus feugiat faucibus mi volutpat pulvinar. Sed auctor interdum varius. Etiam et metus lacus. In nec hendrerit nulla. Integer quis libero nisl. Proin tempor nisl nec eros molestie quis pretium enim ultrices. Cras vitae volutpat est. Aenean et risus leo. Donec molestie mattis augue, sit amet vehicula erat pellentesque sed.",project,,Health,,,15,-19.26837,-66.134949
Puituco - Putina Pampa Road,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur ultricies, dui sed pharetra luctus, arcu sapien condimentum risus, in sodales felis quam et velit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse dignissim viverra pellentesque. Maecenas ut metus nisi. Vivamus feugiat faucibus mi volutpat pulvinar. Sed auctor interdum varius. Etiam et metus lacus. In nec hendrerit nulla. Integer quis libero nisl. Proin tempor nisl nec eros molestie quis pretium enim ultrices. Cras vitae volutpat est. Aenean et risus leo. Donec molestie mattis augue, sit amet vehicula erat pellentesque sed.",project,,Water,,,15,-19.294943,-66.121902
Quehua Clinic,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur ultricies, dui sed pharetra luctus, arcu sapien condimentum risus, in sodales felis quam et velit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse dignissim viverra pellentesque. Maecenas ut metus nisi. Vivamus feugiat faucibus mi volutpat pulvinar. Sed auctor interdum varius. Etiam et metus lacus. In nec hendrerit nulla. Integer quis libero nisl. Proin tempor nisl nec eros molestie quis pretium enim ultrices. Cras vitae volutpat est. Aenean et risus leo. Donec molestie mattis augue, sit amet vehicula erat pellentesque sed.",project,,Road,,,15,-19.952696,-66.962128
Ramadas Clinic,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur ultricies, dui sed pharetra luctus, arcu sapien condimentum risus, in sodales felis quam et velit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse dignissim viverra pellentesque. Maecenas ut metus nisi. Vivamus feugiat faucibus mi volutpat pulvinar. Sed auctor interdum varius. Etiam et metus lacus. In nec hendrerit nulla. Integer quis libero nisl. Proin tempor nisl nec eros molestie quis pretium enim ultrices. Cras vitae volutpat est. Aenean et risus leo. Donec molestie mattis augue, sit amet vehicula erat pellentesque sed.",project,,School,,,15,-17.55501,-66.472778
Raqay Pampa Clinic,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur ultricies, dui sed pharetra luctus, arcu sapien condimentum risus, in sodales felis quam et velit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse dignissim viverra pellentesque. Maecenas ut metus nisi. Vivamus feugiat faucibus mi volutpat pulvinar. Sed auctor interdum varius. Etiam et metus lacus. In nec hendrerit nulla. Integer quis libero nisl. Proin tempor nisl nec eros molestie quis pretium enim ultrices. Cras vitae volutpat est. Aenean et risus leo. Donec molestie mattis augue, sit amet vehicula erat pellentesque sed.",project,,Community,,,15,-17.572029,-65.429077
Raqay Pampa Runway,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur ultricies, dui sed pharetra luctus, arcu sapien condimentum risus, in sodales felis quam et velit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse dignissim viverra pellentesque. Maecenas ut metus nisi. Vivamus feugiat faucibus mi volutpat pulvinar. Sed auctor interdum varius. Etiam et metus lacus. In nec hendrerit nulla. Integer quis libero nisl. Proin tempor nisl nec eros molestie quis pretium enim ultrices. Cras vitae volutpat est. Aenean et risus leo. Donec molestie mattis augue, sit amet vehicula erat pellentesque sed.",project,,Health,,,15,-17.571865,-65.426331
Reyes Runway,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur ultricies, dui sed pharetra luctus, arcu sapien condimentum risus, in sodales felis quam et velit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse dignissim viverra pellentesque. Maecenas ut metus nisi. Vivamus feugiat faucibus mi volutpat pulvinar. Sed auctor interdum varius. Etiam et metus lacus. In nec hendrerit nulla. Integer quis libero nisl. Proin tempor nisl nec eros molestie quis pretium enim ultrices. Cras vitae volutpat est. Aenean et risus leo. Donec molestie mattis augue, sit amet vehicula erat pellentesque sed.",project,,Water,,,15,-14.264383,-67.368164
Riberalta Cristo Rey Clinic,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur ultricies, dui sed pharetra luctus, arcu sapien condimentum risus, in sodales felis quam et velit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse dignissim viverra pellentesque. Maecenas ut metus nisi. Vivamus feugiat faucibus mi volutpat pulvinar. Sed auctor interdum varius. Etiam et metus lacus. In nec hendrerit nulla. Integer quis libero nisl. Proin tempor nisl nec eros molestie quis pretium enim ultrices. Cras vitae volutpat est. Aenean et risus leo. Donec molestie mattis augue, sit amet vehicula erat pellentesque sed.",project,,Road,,,15,-11.005904,-66.052551
Riberalta - Tambo Vallegrande Road,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur ultricies, dui sed pharetra luctus, arcu sapien condimentum risus, in sodales felis quam et velit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse dignissim viverra pellentesque. Maecenas ut metus nisi. Vivamus feugiat faucibus mi volutpat pulvinar. Sed auctor interdum varius. Etiam et metus lacus. In nec hendrerit nulla. Integer quis libero nisl. Proin tempor nisl nec eros molestie quis pretium enim ultrices. Cras vitae volutpat est. Aenean et risus leo. Donec molestie mattis augue, sit amet vehicula erat pellentesque sed.",project,,School,,,15,-20.621218,-65.782013
